# NFL spread data
('2009-12-21T01:20:00.000000', u'CAR', u'MIN', 19.0)
('2009-12-22T01:30:00.000000', u'WAS', u'NYG', -33.0)
('2009-12-26T00:30:00.000000', u'TEN', u'LAC', -25.0)
('2009-12-27T18:00:00.000000', u'ATL', u'BUF', 28.0)
('2009-12-27T18:00:00.000000', u'CIN', u'KC', 7.0)
('2009-12-27T18:00:00.000000', u'CLE', u'OAK', 14.0)
('2009-12-27T18:00:00.000000', u'GB', u'SEA', 38.0)
('2009-12-27T18:00:00.000000', u'MIA', u'HOU', -7.0)
('2009-12-27T18:00:00.000000', u'NE', u'JAC', 28.0)
('2009-12-27T18:00:00.000000', u'NO', u'TB', -3.0)
('2009-12-27T18:00:00.000000', u'NYG', u'CAR', -32.0)
('2009-12-27T18:00:00.000000', u'PIT', u'BAL', 3.0)
('2009-12-27T21:05:00.000000', u'ARI', u'LAR', 21.0)
('2009-12-27T21:05:00.000000', u'SF', u'DET', 14.0)
('2009-12-27T21:15:00.000000', u'IND', u'NYJ', -14.0)
('2009-12-27T21:15:00.000000', u'PHI', u'DEN', 3.0)
('2009-12-28T01:20:00.000000', u'WAS', u'DAL', -17.0)
('2009-12-29T01:30:00.000000', u'CHI', u'MIN', 6.0)
('2010-01-03T18:00:00.000000', u'BUF', u'IND', 23.0)
('2010-01-03T18:00:00.000000', u'CAR', u'NO', 13.0)
('2010-01-03T18:00:00.000000', u'CLE', u'JAC', 6.0)
('2010-01-03T18:00:00.000000', u'DET', u'CHI', -14.0)
('2010-01-03T18:00:00.000000', u'HOU', u'NE', 7.0)
('2010-01-03T18:00:00.000000', u'LAR', u'SF', -22.0)
('2010-01-03T18:00:00.000000', u'MIA', u'PIT', -6.0)
('2010-01-03T18:00:00.000000', u'MIN', u'NYG', 37.0)
('2010-01-03T18:00:00.000000', u'TB', u'ATL', -10.0)
('2010-01-03T21:15:00.000000', u'ARI', u'GB', -26.0)
('2010-01-03T21:15:00.000000', u'DAL', u'PHI', 24.0)
('2010-01-03T21:15:00.000000', u'DEN', u'KC', -20.0)
('2010-01-03T21:15:00.000000', u'LAC', u'WAS', 3.0)
('2010-01-03T21:15:00.000000', u'OAK', u'BAL', -8.0)
('2010-01-03T21:15:00.000000', u'SEA', u'TEN', -4.0)
('2010-01-04T01:20:00.000000', u'NYJ', u'CIN', 37.0)
('2010-09-10T00:30:00.000000', u'NO', u'MIN', 5.0)
('2010-09-12T17:00:00.000000', u'BUF', u'MIA', -5.0)
('2010-09-12T17:00:00.000000', u'CHI', u'DET', 5.0)
('2010-09-12T17:00:00.000000', u'HOU', u'IND', 10.0)
('2010-09-12T17:00:00.000000', u'JAC', u'DEN', 7.0)
('2010-09-12T17:00:00.000000', u'NE', u'CIN', 14.0)
('2010-09-12T17:00:00.000000', u'NYG', u'CAR', 13.0)
('2010-09-12T17:00:00.000000', u'PIT', u'ATL', 6.0)
('2010-09-12T17:00:00.000000', u'TB', u'CLE', 3.0)
('2010-09-12T17:00:00.000000', u'TEN', u'OAK', 25.0)
('2010-09-12T20:15:00.000000', u'LAR', u'ARI', -4.0)
('2010-09-12T20:15:00.000000', u'PHI', u'GB', -7.0)
('2010-09-12T20:15:00.000000', u'SEA', u'SF', 25.0)
('2010-09-13T00:20:00.000000', u'WAS', u'DAL', 6.0)
('2010-09-13T23:00:00.000000', u'NYJ', u'BAL', -1.0)
('2010-09-14T02:15:00.000000', u'KC', u'LAC', 7.0)
('2010-09-19T17:00:00.000000', u'ATL', u'ARI', 34.0)
('2010-09-19T17:00:00.000000', u'CAR', u'TB', -13.0)
('2010-09-19T17:00:00.000000', u'CIN', u'BAL', 5.0)
('2010-09-19T17:00:00.000000', u'CLE', u'KC', -2.0)
('2010-09-19T17:00:00.000000', u'DAL', u'CHI', -7.0)
('2010-09-19T17:00:00.000000', u'DET', u'PHI', -3.0)
('2010-09-19T17:00:00.000000', u'GB', u'BUF', 27.0)
('2010-09-19T17:00:00.000000', u'MIN', u'MIA', -4.0)
('2010-09-19T17:00:00.000000', u'TEN', u'PIT', -8.0)
('2010-09-19T20:05:00.000000', u'DEN', u'SEA', 17.0)
('2010-09-19T20:05:00.000000', u'OAK', u'LAR', 2.0)
('2010-09-19T20:15:00.000000', u'LAC', u'JAC', 25.0)
('2010-09-19T20:15:00.000000', u'NYJ', u'NE', 14.0)
('2010-09-19T20:15:00.000000', u'WAS', u'HOU', -3.0)
('2010-09-20T00:20:00.000000', u'IND', u'NYG', 24.0)
('2010-09-21T00:30:00.000000', u'SF', u'NO', -3.0)
('2010-09-26T17:00:00.000000', u'BAL', u'CLE', 7.0)
('2010-09-26T17:00:00.000000', u'CAR', u'CIN', -13.0)
('2010-09-26T17:00:00.000000', u'HOU', u'DAL', -14.0)
('2010-09-26T17:00:00.000000', u'KC', u'SF', 21.0)
('2010-09-26T17:00:00.000000', u'MIN', u'DET', 14.0)
('2010-09-26T17:00:00.000000', u'NE', u'BUF', 8.0)
('2010-09-26T17:00:00.000000', u'NO', u'ATL', -3.0)
('2010-09-26T17:00:00.000000', u'NYG', u'TEN', -19.0)
('2010-09-26T17:00:00.000000', u'TB', u'PIT', -25.0)
('2010-09-26T20:05:00.000000', u'JAC', u'PHI', -25.0)
('2010-09-26T20:05:00.000000', u'LAR', u'WAS', 14.0)
('2010-09-26T20:15:00.000000', u'ARI', u'OAK', 1.0)
('2010-09-26T20:15:00.000000', u'DEN', u'IND', -14.0)
('2010-09-26T20:15:00.000000', u'SEA', u'LAC', 7.0)
('2010-09-27T00:20:00.000000', u'MIA', u'NYJ', -8.0)
('2010-09-28T00:30:00.000000', u'CHI', u'GB', 3.0)
('2010-10-03T17:00:00.000000', u'ATL', u'SF', 2.0)
('2010-10-03T17:00:00.000000', u'BUF', u'NYJ', -24.0)
('2010-10-03T17:00:00.000000', u'CLE', u'CIN', 3.0)
('2010-10-03T17:00:00.000000', u'GB', u'DET', 2.0)
('2010-10-03T17:00:00.000000', u'LAR', u'SEA', 17.0)
('2010-10-03T17:00:00.000000', u'NO', u'CAR', 2.0)
('2010-10-03T17:00:00.000000', u'PIT', u'BAL', -3.0)
('2010-10-03T17:00:00.000000', u'TEN', u'DEN', -6.0)
('2010-10-03T20:05:00.000000', u'JAC', u'IND', 3.0)
('2010-10-03T20:05:00.000000', u'OAK', u'HOU', -7.0)
('2010-10-03T20:15:00.000000', u'LAC', u'ARI', 31.0)
('2010-10-03T20:15:00.000000', u'PHI', u'WAS', -5.0)
