# date, home, score, away, score
2010-12-05 MIN 38 BUF 14
2010-12-05 MIA 10 CLE 13
2010-12-05 TEN  6 JAC 17
2010-12-05 KC  10 DEN  6
2010-12-05 NYG 31 WAS  7
2010-12-05 DET 20 CHI 24
2010-12-05 GB  34 SF  16
2010-12-05 CIN 30 NO  34
2010-12-05 LAC 13 OAK 28
2010-12-05 TB  24 ATL 28
2010-12-05 IND 35 DAL 38
2010-12-05 ARI  6 LAR 19
2010-12-05 SEA 31 CAR 14
2010-12-05 BAL 10 PIT 13
2010-12-06 NE  45 NYJ  3
2010-12-09 TEN 28 IND 30
2010-12-12 BUF 13 CLE  6
2010-12-12 PIT 23 CIN  7
2010-12-12 JAC 38 OAK 31
2010-12-12 WAS 16 TB  17
2010-12-12 DET  7 GB   3
2010-12-12 CAR 10 ATL 31
2010-12-12 NO  31 LAR 13
2010-12-12 SF  40 SEA 21
2010-12-12 CHI  7 NE  36
2010-12-12 NYJ  6 MIA 10
2010-12-12 ARI 43 DEN 13
2010-12-12 LAC 31 KC   0
2010-12-12 DAL 27 PHI 30
2010-12-13 MIN  3 NYG 21
2010-12-13 HOU 28 BAL 34
2010-12-16 LAC 34 SF   7
2010-12-19 LAR 13 KC  27
2010-12-19 MIA 14 BUF 17
2010-12-19 CIN 19 CLE 17
2010-12-19 IND 34 JAC 24
2010-12-19 TEN 31 HOU 17
2010-12-19 DAL 33 WAS 30
2010-12-19 NYG 31 PHI 38
2010-12-19 CAR 19 ARI 12
2010-12-19 TB  20 DET 23
2010-12-19 BAL 30 NO  24
2010-12-19 SEA 18 ATL 34
2010-12-19 PIT 17 NYJ 22
2010-12-19 OAK 39 DEN 23
2010-12-19 NE  31 GB  27
2010-12-20 MIN 14 CHI 40
2010-12-23 PIT 27 CAR  3
2010-12-25 ARI 27 DAL 26
2010-12-26 CHI 38 NYJ 34
2010-12-26 BUF  3 NE  34
2010-12-26 CLE 10 BAL 20
2010-12-26 KC  34 TEN 14
2010-12-26 LAR 25 SF  17
2010-12-26 MIA 27 DET 34
2010-12-26 JAC 17 WAS 20
2010-12-26 DEN 24 HOU 23
2010-12-26 OAK 26 IND 31
2010-12-26 CIN 34 LAC 20
2010-12-26 TB  38 SEA 15
2010-12-26 GB  45 NYG 17
2010-12-27 ATL 14 NO  17
2010-12-28 PHI 14 MIN 24
2011-01-02 NE  38 MIA  7
2011-01-02 NYJ 38 BUF  7
2011-01-02 BAL 13 CIN  7
2011-01-02 CLE  9 PIT 41
2011-01-02 KC  10 OAK 31
2011-01-02 DET 20 MIN 13
2011-01-02 ATL 31 CAR 10
2011-01-02 NO  13 TB  23
2011-01-02 HOU 34 JAC 17
2011-01-02 IND 23 TEN 20
2011-01-02 PHI 13 DAL 14
2011-01-02 WAS 14 NYG 17
2011-01-02 GB  10 CHI  3
2011-01-02 DEN 28 LAC 33
2011-01-02 SF  38 ARI  7
2011-01-02 SEA 16 LAR  6
2011-09-08 GB  42 NO  34
2011-09-11 BAL 35 PIT  7
2011-09-11 CLE 17 CIN 27
2011-09-11 HOU 34 IND  7
2011-09-11 JAC 16 TEN 14
2011-09-11 KC   7 BUF 41
2011-09-11 CHI 30 ATL 12
2011-09-11 TB  20 DET 27
2011-09-11 LAR 13 PHI 31
2011-09-11 WAS 28 NYG 14
2011-09-11 ARI 28 CAR 21
2011-09-11 SF  33 SEA 17
2011-09-11 LAC 24 MIN 17
2011-09-11 NYJ 27 DAL 24
2011-09-12 MIA 24 NE  38
2011-09-12 DEN 20 OAK 23
2011-09-18 DET 48 KC   3
2011-09-18 BUF 38 OAK 35
2011-09-18 TEN 26 BAL 13
2011-09-18 NYJ 32 JAC  3
2011-09-18 IND 19 CLE 27
2011-09-18 WAS 22 ARI 21
2011-09-18 MIN 20 TB  24
2011-09-18 CAR 23 GB  30
2011-09-18 NO  30 CHI 13
2011-09-18 PIT 24 SEA  0
2011-09-18 SF  24 DAL 27
2011-09-18 NE  35 LAC 21
2011-09-18 DEN 24 CIN 22
2011-09-18 MIA 13 HOU 23
2011-09-18 ATL 35 PHI 31
2011-09-19 NYG 28 LAR 16
2011-09-25 CAR 16 JAC 10
2011-09-25 NO  40 HOU 33
2011-09-25 BUF 34 NE  31
2011-09-25 CLE 17 MIA 16
2011-09-25 TEN 17 DEN 14
2011-09-25 PHI 16 NYG 29
2011-09-25 MIN 23 DET 26
2011-09-25 CIN  8 SF  13
2011-09-25 OAK 34 NYJ 24
2011-09-25 LAC 20 KC  17
2011-09-25 LAR  7 BAL 37
2011-09-25 CHI 17 GB  27
2011-09-25 SEA 13 ARI 10
2011-09-25 TB  16 ATL 13
2011-09-25 IND 20 PIT 23
2011-09-26 DAL 18 WAS 16
2011-10-02 CIN 23 BUF 20
2011-10-02 CLE 13 TEN 31
2011-10-02 HOU 17 PIT 10
2011-10-02 DAL 30 DET 34
2011-10-02 PHI 23 SF  24
2011-10-02 CHI 34 CAR 29
2011-10-02 LAR 10 WAS 17
2011-10-02 JAC 10 NO  23
2011-10-02 KC  22 MIN 17
2011-10-02 ARI 27 NYG 31
2011-10-02 SEA 28 ATL 30
2011-10-02 GB  49 DEN 23
2011-10-02 OAK 19 NE  31
2011-10-02 LAC 26 MIA 16
2011-10-02 BAL 34 NYJ 17
2011-10-03 TB  24 IND 17
2011-10-09 PIT 38 TEN 17
2011-10-09 HOU 20 OAK 25
2011-10-09 IND 24 KC  28
2011-10-09 JAC 20 CIN 30
2011-10-09 NYG 25 SEA 36
2011-10-09 MIN 34 ARI 10
2011-10-09 CAR 27 NO  30
2011-10-09 BUF 31 PHI 24
2011-10-09 SF  48 TB   3
2011-10-09 NE  30 NYJ 21
2011-10-09 DEN 24 LAC 29
2011-10-09 ATL 14 GB  25
2011-10-10 DET 24 CHI 13
2011-10-16 NYG 27 BUF 24
2011-10-16 CIN 27 IND 17
2011-10-16 PIT 17 JAC 13
2011-10-16 WAS 13 PHI 20
2011-10-16 DET 19 SF  25
2011-10-16 GB  24 LAR  3
2011-10-16 ATL 31 CAR 17
2011-10-16 OAK 24 CLE 17
2011-10-16 BAL 29 HOU 14
2011-10-16 TB  26 NO  20
2011-10-16 NE  20 DAL 16
2011-10-16 CHI 39 MIN 10
2011-10-17 NYJ 24 MIA  6
2011-10-23 MIA 15 DEN 18
